"","...1","...2","...3",":id",":version",":created_at",":updated_at","record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated","year"
"1",1,1,2,"row-kqs7-47db~7kee","rv-rv8n.xkys-yejy",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"dad854312a7286fa07ad7a6eba67ea95",1976,"vt","CDC_Verily",50027,"Windsor",6000,"25778ee5a34f77aa31cfb918f7c1d389",2026-04-21,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00018,"pepper mild mottle virus",4177520.16492,"copies/l wastewater",31.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"2",2,2,3,"row-dpk4_jvcu~wwuy","rv-zb78_ay3z.bt2r",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"d8de198be5ad3b1f2c29dbcde5f3834a",2350,"vt","CDC_Verily",50001,"Addison",9000,"055d370d42c8afa3d21d5d1878161b41",2026-05-28,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",48297447.80308,"copies/l wastewater",94.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"3",3,3,4,"row-ngdr-wtc5_y4uu","rv-gbhw-xqa7.v78g",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3f156e4deca39f9bffa13d95b4059462",2350,"vt","CDC_Verily",50001,"Addison",9000,"fb0a1f1f53a0785c2d4ad348c018462a",2026-04-07,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2642.98096,"copies/l wastewater",1500,"yes",2642.98096,1111637.79155,7e-05,"pepper mild mottle virus",35972738.41231,"copies/l wastewater",114.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"4",4,4,5,"row-6i48.28ds.cfhr","rv-kmkn.gid9_meep",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fed80f221c6c2432b26f1fae7351e8fb",1976,"vt","CDC_Verily",50027,"Windsor",6000,"bd4fd7cf36754b541cb703cdd6c97408",2026-02-23,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",8367.07314,"copies/l wastewater",1500,"yes",8367.07314,1847575.25473,0.00024,"pepper mild mottle virus",34945796.08615,"copies/l wastewater",51.5,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"5",5,5,7,"row-b7pm-y23c~p98z","rv-kjhf-e8c4~qza8",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"acc9f800d36ce03c3b75a314edbff81e",2350,"vt","CDC_Verily",50001,"Addison",9000,"b6ce90b7a14b931c1a4b82b6b3d66ddd",2026-02-10,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",13835.89571,"copies/l wastewater",1500,"yes",13835.89571,5819377.73519,0.00016,"pepper mild mottle virus",84267521.79692,"copies/l wastewater",91.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"6",6,6,18,"row-negi-p8hh.zgmy","rv-68wv~eed8~uryj",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"644c0c94087352069651d34aaa54797a",1976,"vt","CDC_Verily",50027,"Windsor",6000,"aa9a904f3fbbbbc3f1ef9f45f36cd772",2026-06-29,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00103,"pepper mild mottle virus",731257.87889,"copies/l wastewater",10.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"7",7,7,19,"row-38r9_igew.36ss","rv-t5m5_h3bc_q5zc",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"41962b52a57b4d6f0bb906176e6f5060",2350,"vt","CDC_Verily",50001,"Addison",9000,"a914055801854306a4be1a62c240ed5e",2026-01-22,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",3730.16932,"copies/l wastewater",1500,"yes",3730.16932,1568909.21624,6e-05,"pepper mild mottle virus",63434175.92615,"copies/l wastewater",117.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"8",8,8,21,"row-4emn-pw7i~jfzj","rv-99au.v2rr~emds",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e1de31910a367c9f14b77eabf533fd83",2350,"vt","CDC_Verily",50001,"Addison",9000,"cb205159239e3a0ece862cb9bbd55e34",2026-03-05,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",1782.16422,"copies/l wastewater",1500,"yes",1782.16422,749578.27295,4e-05,"pepper mild mottle virus",47341430.67077,"copies/l wastewater",113.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"9",9,9,24,"row-49gj-7jeu_ur9m","rv-mts8-66uf-qrh6",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"48de54e631f1d6b33da89134aab7ab8c",1976,"vt","CDC_Verily",50027,"Windsor",6000,"f23704101ebbb5e5dd89cf6b3c7957ab",2026-07-13,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,6e-05,"pepper mild mottle virus",13453186.03569,"copies/l wastewater",19.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"10",10,10,33,"row-x5mq_nuyg~v4qm","rv-k3mt-fiid.ifhb",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"66db9cf01374bb960b427a6eed669420",2350,"vt","CDC_Verily",50001,"Addison",9000,"cda789e72a8256f97b7f48903ac91d62",2026-07-21,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",34882744.41846,"copies/l wastewater",89.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"11",11,11,34,"row-8nzk.96xp-eqmi","rv-73tw-tsjj.dquz",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"7666cec8ee72fe34e1df838c098df964",2350,"vt","CDC_Verily",50001,"Addison",9000,"340fddc118ad1a727915e255b8605c95",2026-02-03,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",1386.28123,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",41776808.51692,"copies/l wastewater",70.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"12",12,12,42,"row-rxaw-eb7w~36h7","rv-thkt-9nqz_he5p",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"800131f6f8f9c3c386efc23483abf1ad",1976,"vt","CDC_Verily",50027,"Windsor",6000,"add6c85c1edc844bcf09f460a36ca55d",2026-06-15,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,8e-05,"pepper mild mottle virus",9940582.27446,"copies/l wastewater",68.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"13",13,13,48,"row-3t9m_vsgm_ka7q","rv-f5bp_fprr~eda2",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fbbf61564bbfea1e52008476317f60bc",1976,"vt","CDC_Verily",50027,"Windsor",6000,"2435ba6bca410d64452fc912ba3a7174",2026-01-19,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,7e-04,"pepper mild mottle virus",1065946.35889,"copies/l wastewater",10.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"14",14,14,50,"row-2pc2~3tv8.p3c9","rv-48r2-kg2t-678d",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"71ae6a888158b9c96a3a7b95df7eece9",1976,"vt","CDC_Verily",50027,"Windsor",6000,"a23fc00edc48d8179201920c07b36165",2026-07-07,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,1e-05,"pepper mild mottle virus",126170194.19077,"copies/l wastewater",65.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
